*Short Form	EN	HU	NL	ES	RO	PL	CS	BS	PT-BR	PT-PT	ET	FR-CA	FR-FR	KR	ZH-CN	ZH-TW	SR	RU	TR	FI	BG	UA	DE	CAT	IT	JP	LT	AR	KZ	NO	FIL	HIN	TH	ID	GE	LV	VN	GR	BRL	SK	SW	FA
Telegram linked.	Telegram linked.	Telegram összekötve.	Telegram gekoppeld.	Telegram vinculado.	Telegram legat.	Telegram połączony.	Telegram propojen.	Telegram povezan.	Telegram vinculado.	Telegram associado.	Telegram seotud.	Telegram lié.	Telegram lié.	텔레그램 연결됨.	Telegram 已绑定。	Telegram 已綁定。	Telegram povezan.	Telegram привязан.	Telegram bağlandı.	Telegram liitetty.	Telegram е свързан.	Telegram прив’язано.	Telegram verknüpft.	Telegram vinculat.	Telegram collegato.	Telegram連携済み。	Telegram susieta.	تيليجرام مربوط.	Telegram қосылды.	Telegram koblet.	Naka-link ang Telegram.	टेलीग्राम जुड़ गया।	ผูกเทเลแกรมแล้ว	Telegram tertaut.	Telegram დაკავშირდა.	Telegram saistīts.	Đã liên kết Telegram.	Το Telegram συνδέθηκε.	Telegram прывязаны.	Telegram prepojený.	Telegram kopplat.	تلگرام وصل شد.
Delete: {0}	Delete: {0}	Törlés: {0}	Verwijderen: {0}	Eliminar: {0}	Ștergere: {0}	Usuń: {0}	Smazat: {0}	Briši: {0}	Excluir: {0}	Eliminar: {0}	Kustuta: {0}	Supprimer : {0}	Supprimer : {0}	삭제: {0}	删除：{0}	刪除：{0}	Obriši: {0}	Удаление: {0}	Sil: {0}	Poista: {0}	Изтриване: {0}	Видалення: {0}	Löschen: {0}	Elimina: {0}	Elimina: {0}	削除: {0}	Ištrinti: {0}	حذف: {0}	Жою: {0}	Slett: {0}	Burahin: {0}	हटाएँ: {0}	ลบ: {0}	Hapus: {0}	წაშლა: {0}	Dzēst: {0}	Xóa: {0}	Διαγραφή: {0}	Выдаліць: {0}	Odstrániť: {0}	Ta bort: {0}	حذف: {0}
Deleted #{0}	Deleted #{0}	Törölve #{0}	Verwijderd #{0}	Eliminado #{0}	Șters #{0}	Usunięto #{0}	Smazáno #{0}	Obrisano #{0}	Excluído #{0}	Eliminado #{0}	Kustutatud #{0}	Supprimé #{0}	Supprimé #{0}	삭제됨 #{0}	已删除 #{0}	已刪除 #{0}	Obrisano #{0}	Удалено #{0}	Silindi #{0}	Poistettu #{0}	Изтрито #{0}	Видалено #{0}	Gelöscht #{0}	Eliminat #{0}	Eliminato #{0}	削除しました #{0}	Ištrinta #{0}	حُذف #{0}	Жойылды #{0}	Slettet #{0}	Nabura #{0}	हटाया #{0}	ลบแล้ว #{0}	Dihapus #{0}	წაიშალა #{0}	Dzēsts #{0}	Đã xóa #{0}	Διαγράφηκε #{0}	Выдалена #{0}	Odstránené #{0}	Borttaget #{0}	حذف شد #{0}
Username already taken.	Username already taken.	A felhasználónév foglalt.	Gebruikersnaam al in gebruik.	El nombre de usuario ya existe.	Numele de utilizator e ocupat.	Nazwa użytkownika zajęta.	Uživatelské jméno je obsazené.	Korisničko ime je zauzeto.	Nome de usuário já existe.	Nome de utilizador já existe.	Kasutajanimi on võetud.	Identifiant déjà pris.	Identifiant déjà pris.	이미 사용 중인 이름입니다.	用户名已被占用。	使用者名稱已被使用。	Korisničko ime je zauzeto.	Имя уже занято.	Kullanıcı adı alınmış.	Käyttäjänimi on varattu.	Потребителското име е заето.	Ім’я вже зайняте.	Benutzername schon vergeben.	El nom d'usuari ja existeix.	Nome utente già usato.	その名前は使われています。	Naudotojo vardas užimtas.	اسم المستخدم محجوز.	Пайдаланушы аты бос емес.	Brukernavn er opptatt.	May gumagamit na ng username.	यह नाम पहले से है।	ชื่อผู้ใช้ถูกใช้แล้ว	Nama pengguna sudah dipakai.	სახელი უკვე დაკავებულია.	Lietotājvārds jau aizņemts.	Tên đã được dùng.	Το όνομα χρησιμοποιείται.	Імя ўжо занятае.	Používateľské meno je obsadené.	Användarnamnet är upptaget.	این نام گرفته شده.
Email already registered.	Email already registered.	Ez az e-mail már regisztrálva van.	E-mail al geregistreerd.	Este correo ya está registrado.	E-mailul este deja înregistrat.	E-mail już zarejestrowany.	E-mail je už registrován.	E-pošta je već registrovana.	E-mail já cadastrado.	E-mail já registado.	E-post on juba registreeritud.	E-mail déjà inscrit.	E-mail déjà inscrit.	이미 등록된 이메일입니다.	该邮箱已注册。	此電子郵件已註冊。	E-pošta je već registrovana.	Почта уже зарегистрирована.	E-posta zaten kayıtlı.	Sähköposti on jo rekisteröity.	Имейлът вече е регистриран.	Пошта вже зареєстрована.	E-Mail schon registriert.	Aquest correu ja està registrat.	E-mail già registrata.	このメールは登録済みです。	El. paštas jau užregistruotas.	البريد مسجّل مسبقاً.	Пошта тіркелген.	E-post er allerede registrert.	Nakarehistro na ang email.	ईमेल पहले पंजीकृत है।	อีเมลนี้สมัครแล้ว	Email sudah terdaftar.	ელფოსტა უკვე რეგისტრირებულია.	E-pasts jau reģistrēts.	Email đã được đăng ký.	Το email είναι ήδη εγγεγραμμένο.	Пошта ўжо зарэгістраваная.	E-mail je už zaregistrovaný.	E-post redan registrerad.	این ایمیل ثبت شده.
Nickname must be 3-20 chars.	Nickname must be 3-20 chars.	A becenév 3–20 karakter.	Bijnaam moet 3-20 tekens zijn.	El apodo debe tener 3-20 caracteres.	Porecla trebuie să aibă 3-20 caractere.	Nick musi mieć 3-20 znaków.	Přezdívka musí mít 3–20 znaků.	Nadimak mora imati 3-20 znakova.	Apelido deve ter 3-20 caracteres.	Alcunha deve ter 3-20 caracteres.	Hüüdnimi peab olema 3–20 tähemärki.	Le pseudo doit faire 3-20 caractères.	Le pseudo doit faire 3-20 caractères.	닉네임은 3–20자여야 합니다.	昵称须为 3–20 个字符。	暱稱須為 3–20 個字元。	Nadimak mora imati 3-20 znakova.	Ник должен быть 3–20 символов.	Takma ad 3-20 karakter olmalı.	Nimimerkin on oltava 3–20 merkkiä.	Псевдонимът трябва да е 3–20 знака.	Нік має бути 3–20 символів.	Spitzname muss 3–20 Zeichen haben.	El sobrenom ha de tenir 3-20 caràcters.	Il nickname deve essere 3-20 caratteri.	ニックネームは3〜20文字。	Slapyvardis turi būti 3–20 simbolių.	يجب أن يكون الاسم 3–20 حرفاً.	Лақап ат 3–20 таңба болуы керек.	Kallenavn må være 3–20 tegn.	Ang palayaw ay 3-20 karakter.	उपनाम 3–20 अक्षर का हो।	ชื่อเล่นต้อง 3–20 ตัวอักษร	Nama panggilan harus 3-20 karakter.	მეტსახელი უნდა იყოს 3–20 სიმბოლო.	Segvārdam jābūt 3–20 rakstzīmēm.	Biệt danh phải 3–20 ký tự.	Το ψευδώνυμο πρέπει να είναι 3–20 χαρακτήρες.	Нік мусіць быць 3–20 сімвалаў.	Prezývka musí mať 3–20 znakov.	Smeknamn måste vara 3–20 tecken.	نام مستعار باید ۳–۲۰ نویسه باشد.
Invalid email.	Invalid email.	Érvénytelen e-mail.	Ongeldig e-mailadres.	Correo no válido.	E-mail invalid.	Nieprawidłowy e-mail.	Neplatný e-mail.	Neispravna e-pošta.	E-mail inválido.	E-mail inválido.	Vigane e-post.	E-mail invalide.	E-mail invalide.	잘못된 이메일.	邮箱无效。	電子郵件無效。	Neispravna e-pošta.	Неверная почта.	Geçersiz e-posta.	Virheellinen sähköposti.	Невалиден имейл.	Недійсна пошта.	Ungültige E-Mail.	Correu no vàlid.	E-mail non valida.	メールが無効です。	Neteisingas el. paštas.	بريد غير صالح.	Пошта қате.	Ugyldig e-post.	Invalid na email.	अमान्य ईमेल।	อีเมลไม่ถูกต้อง	Email tidak valid.	არასწორი ელფოსტა.	Nederīgs e-pasts.	Email không hợp lệ.	Άκυρο email.	Няправільная пошта.	Neplatný e-mail.	Ogiltig e-post.	ایمیل نامعتبر.
Password must be ≥6 chars.	Password must be ≥6 chars.	A jelszó legalább 6 karakter.	Wachtwoord moet ≥6 tekens zijn.	La contraseña debe tener ≥6 caracteres.	Parola trebuie să aibă ≥6 caractere.	Hasło musi mieć ≥6 znaków.	Heslo musí mít ≥6 znaků.	Lozinka mora imati ≥6 znakova.	A senha deve ter ≥6 caracteres.	A palavra-passe deve ter ≥6 caracteres.	Parool peab olema ≥6 tähemärki.	Le mot de passe doit faire ≥6 caractères.	Le mot de passe doit faire ≥6 caractères.	비밀번호는 6자 이상이어야 합니다.	密码至少 6 个字符。	密碼至少 6 個字元。	Lozinka mora imati ≥6 znakova.	Пароль должен быть ≥6 символов.	Şifre en az 6 karakter olmalı.	Salasanan on oltava ≥6 merkkiä.	Паролата трябва да е ≥6 знака.	Пароль має бути ≥6 символів.	Passwort muss ≥6 Zeichen haben.	La contrasenya ha de tenir ≥6 caràcters.	La password deve essere ≥6 caratteri.	パスワードは6文字以上。	Slaptažodis turi būti ≥6 simboliai.	كلمة السر ≥6 أحرف.	Құпиясөз ≥6 таңба болуы керек.	Passord må være ≥6 tegn.	Ang password ay ≥6 na karakter.	पासवर्ड ≥6 अक्षर का हो।	รหัสผ่านต้อง ≥6 ตัวอักษร	Kata sandi harus ≥6 karakter.	პაროლი უნდა იყოს ≥6 სიმბოლო.	Parolei jābūt ≥6 rakstzīmēm.	Mật khẩu phải ≥6 ký tự.	Ο κωδικός πρέπει να είναι ≥6 χαρακτήρες.	Пароль мусіць быць ≥6 сімвалаў.	Heslo musí mať ≥6 znakov.	Lösenord måste vara ≥6 tecken.	رمز باید ≥۶ نویسه باشد.
Code expired. Resend.	Code expired. Resend.	A kód lejárt. Küldd újra.	Code verlopen. Opnieuw versturen.	El código caducó. Reenvía.	Codul a expirat. Retrimite.	Kod wygasł. Wyślij ponownie.	Kód vypršel. Odešlete znovu.	Kod je istekao. Pošaljite ponovo.	Código expirado. Reenvie.	Código expirado. Reenvie.	Kood aegus. Saada uuesti.	Code expiré. Renvoyez.	Code expiré. Renvoyez.	코드가 만료됨. 다시 보내세요.	验证码已过期。请重发。	驗證碼已過期。請重寄。	Kod je istekao. Pošaljite ponovo.	Код истёк. Отправьте снова.	Kodun süresi doldu. Yeniden gönder.	Koodi vanhentui. Lähetä uudelleen.	Кодът е изтекъл. Изпратете отново.	Код прострочений. Надішліть знову.	Code abgelaufen. Erneut senden.	El codi ha caducat. Reenvia.	Codice scaduto. Reinvia.	コード期限切れ。再送信してください。	Kodas nebegalioja. Siųskite iš naujo.	انتهت صلاحية الرمز. أعد الإرسال.	Кодтың мерзімі бітті. Қайта жіберіңіз.	Koden er utløpt. Send på nytt.	Nag-expire ang code. Ipadala ulit.	कोड खत्म। फिर भेजें।	รหัสหมดอายุ ส่งอีกครั้ง	Kode kedaluwarsa. Kirim ulang.	კოდი ვადაგასულია. გააგზავნეთ თავიდან.	Kods beidzies. Sūtiet vēlreiz.	Mã hết hạn. Gửi lại.	Ο κωδικός έληξε. Στείλτε ξανά.	Код пратэрмінаваны. Дашліце зноў.	Kód vypršal. Odošlite znova.	Koden har gått ut. Skicka igen.	کد منقضی شد. دوباره بفرستید.
Email not verified yet.	Email not verified yet.	Az e-mail még nincs megerősítve.	E-mail nog niet bevestigd.	El correo aún no está verificado.	E-mailul nu e verificat încă.	E-mail jeszcze niepotwierdzony.	E-mail ještě není ověřen.	E-pošta još nije potvrđena.	E-mail ainda não verificado.	E-mail ainda não verificado.	E-post pole veel kinnitatud.	E-mail pas encore vérifié.	E-mail pas encore vérifié.	아직 인증되지 않은 이메일입니다.	邮箱尚未验证。	電子郵件尚未驗證。	E-pošta još nije potvrđena.	Почта ещё не подтверждена.	E-posta henüz doğrulanmadı.	Sähköpostia ei ole vielä vahvistettu.	Имейлът още не е потвърден.	Пошту ще не підтверджено.	E-Mail noch nicht bestätigt.	El correu encara no està verificat.	E-mail non ancora verificata.	メールは未確認です。	El. paštas dar nepatvirtintas.	البريد لم يُؤكَّد بعد.	Пошта әлі расталмаған.	E-post er ikke bekreftet ennå.	Hindi pa na-verify ang email.	ईमेल अभी सत्यापित नहीं।	ยังไม่ยืนยันอีเมล	Email belum diverifikasi.	ელფოსტა ჯერ არ არის დადასტურებული.	E-pasts vēl nav apstiprināts.	Email chưa xác minh.	Το email δεν έχει επιβεβαιωθεί ακόμη.	Пошта яшчэ не пацверджаная.	E-mail ešte nie je overený.	E-post inte verifierad än.	ایمیل هنوز تأیید نشده.
Session expired. Sign in again.	Session expired. Sign in again.	A munkamenet lejárt. Jelentkezz be újra.	Sessie verlopen. Log opnieuw in.	Sesión caducada. Inicia sesión de nuevo.	Sesiunea a expirat. Autentifică-te din nou.	Sesja wygasła. Zaloguj się ponownie.	Relace vypršela. Přihlaste se znovu.	Sesija je istekla. Prijavite se ponovo.	Sessão expirada. Entre de novo.	Sessão expirada. Inicie sessão novamente.	Seanss aegus. Logi uuesti sisse.	Session expirée. Reconnectez-vous.	Session expirée. Reconnectez-vous.	세션이 만료됨. 다시 로그인하세요.	会话已过期。请重新登录。	工作階段已過期。請重新登入。	Sesija je istekla. Prijavite se ponovo.	Сессия истекла. Войдите снова.	Oturum doldu. Yeniden giriş yapın.	Istunto vanhentui. Kirjaudu uudelleen.	Сесията изтече. Влезте отново.	Сесія закінчилась. Увійдіть знову.	Sitzung abgelaufen. Neu anmelden.	Sessió caducada. Torna a iniciar sessió.	Sessione scaduta. Accedi di nuovo.	セッション切れ。再ログインしてください。	Sesija baigėsi. Prisijunkite iš naujo.	انتهت الجلسة. سجّل الدخول مجدداً.	Сессия бітті. Қайта кіріңіз.	Økten er utløpt. Logg inn på nytt.	Nag-expire ang session. Mag-login ulit.	सत्र खत्म। फिर लॉगिन करें।	เซสชันหมด เข้าสู่ระบบอีกครั้ง	Sesi habis. Masuk lagi.	სესია ამოიწურა. შედით თავიდან.	Sesija beigusies. Piesakieties vēlreiz.	Phiên hết hạn. Đăng nhập lại.	Η συνεδρία έληξε. Συνδεθείτε ξανά.	Сесія скончылася. Увайдзіце зноў.	Relácia vypršala. Prihláste sa znova.	Sessionen har gått ut. Logga in igen.	نشست تمام شد. دوباره وارد شوید.
Already claimed.	Already claimed.	Már elhasználva.	Al geclaimd.	Ya reclamado.	Deja revendicat.	Już odebrane.	Už uplatněno.	Već preuzeto.	Já resgatado.	Já reivindicado.	Juba võetud.	Déjà pris.	Déjà pris.	이미 수령함.	已经领取。	已經領取。	Već preuzeto.	Уже получено.	Zaten alındı.	Jo lunastettu.	Вече е взето.	Уже отримано.	Schon abgeholt.	Ja reclamat.	Già riscosso.	受取済みです。	Jau paimta.	مُستلم مسبقاً.	Бұрын алынған.	Allerede hentet.	Nakuha na.	पहले मिल चुका।	รับไปแล้ว	Sudah diambil.	უკვე აღებულია.	Jau saņemts.	Đã nhận rồi.	Έχει ήδη ληφθεί.	Ужо атрымана.	Už uplatnené.	Redan hämtad.	قبلاً گرفته شده.
Register	Register	Regisztráció	Registreren	Registrarse	Înregistrare	Rejestracja	Registrace	Registracija	Registrar	Registar	Registreeri	S'inscrire	S'inscrire	가입	注册	註冊	Registracija	Регистрация	Kayıt	Rekisteröidy	Регистрация	Реєстрація	Registrieren	Registra't	Registrati	登録	Registruotis	تسجيل	Тіркелу	Registrer	Magrehistro	पंजीकरण	สมัคร	Daftar	რეგისტრაცია	Reģistrēties	Đăng ký	Εγγραφή	Рэгістрацыя	Registrácia	Registrera	ثبت‌نام
